sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,61,臭氧八小時,普通,0,0.13,40.1,58.1,9,4,1.6,1.9,0.3,4,88,"2024-11-21 21:00",,0.2,14,30,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,33,,良好,0.1,0.16,31.4,36.7,5,3,9.4,9.6,0.2,0.4,278,"2024-11-21 21:00",,0.1,2.6,6,0,121.82463916,24.85366672,312
新北(樹林),新北市,25,,良好,0.3,0.35,25.8,21.0,4,3,15.1,20.7,5.6,0.2,148,"2024-11-21 21:00",,0.3,2.4,7,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,82,細懸浮微粒,普通,1.4,0.46,14.9,54.1,108,29,28.7,29.2,0.5,2.4,320,"2024-11-21 21:00",,0.3,27.9,79,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,71,懸浮微粒,普通,1.4,0.32,19.5,32.7,46,8,14.2,15.1,0.9,2.7,356,"2024-11-21 21:00",,0.2,12.8,71,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,75,懸浮微粒,普通,1.4,0.29,14.9,36.9,30,9,18.9,19.9,1,0.8,308,"2024-11-21 21:00",,0.2,14.9,75,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,26,,良好,1.4,0.25,25.9,28.2,11,5,10.8,11.6,0.8,2,356,"2024-11-21 21:00",,0.2,4.6,14,1,120.56373,23.96117,201
大城,彰化縣,38,,良好,1,0.17,37.7,41.7,13,5,3.1,5.8,2.6,8.4,52,"2024-11-21 21:00",,0.1,7.6,14,0,120.26964167,23.85493056,85
富貴角,新北市,42,,良好,0,0.16,44.5,45.4,31,5,1.9,1.8,0,10.6,44,"2024-11-21 21:00",,0.1,4.8,28,0,121.53656894,25.29681695,84
麥寮,雲林縣,37,,良好,1.5,0.25,35,38.2,35,14,6.2,7,0.7,7.1,3,"2024-11-21 21:00",,0.2,9.8,37,2,120.251825,23.753506,83
關山,臺東縣,35,,良好,1,0.16,37.3,38.4,12,3,2.1,2.7,0.5,2.7,25,"2024-11-21 21:00",,0.1,3.7,14,0,121.161933,23.045083,80
馬公,澎湖縣,37,,良好,1.9,0.18,43.3,40.8,17,4,1.8,2.6,0.7,8.1,31,"2024-11-21 21:00",,0.1,4.3,15,1,119.566158,23.569031,78
金門,金門縣,31,,良好,1.4,0.25,34.1,33.1,16,9,6.8,7.4,0.6,1.8,32,"2024-11-21 21:00",,0.2,8.2,13,1,118.312256,24.432133,77
馬祖,連江縣,49,,良好,0.8,0.25,35.8,36.1,21,20,4.4,4.7,0.2,2.5,333,"2024-11-21 21:00",,0.2,15.2,19,0,119.952724,26.153736,75
埔里,南投縣,50,,良好,1.3,0.29,20.7,33.3,23,19,9,9.8,0.7,0.6,324,"2024-11-21 21:00",,0.2,15.3,22,1,120.967903,23.968842,72
復興,高雄市,88,細懸浮微粒,普通,1.1,0.54,14.5,40.8,94,23,25.6,27.4,1.7,1.4,289,"2024-11-21 21:00",,0.5,30.5,82,1,120.312017,22.608711,71
永和,新北市,26,,良好,1.5,0.32,31.9,29.0,5,2,10.3,13,2.7,2,95,"2024-11-21 21:00",,0.3,3.2,6,0,121.516306,25.017,70
竹山,南投縣,39,,良好,1,0.27,17.8,30.9,15,7,14.1,14.5,0.3,1.7,24,"2024-11-21 21:00",,0.2,12,22,1,120.677306,23.756389,69
中壢,桃園市,33,,良好,1.2,0.66,20.5,15.7,8,7,20.3,31.3,11,0.9,329,"2024-11-21 21:00",,0.6,7.7,11,0,121.221667,24.953278,68
三重,新北市,52,二氧化氮,普通,0.6,0.91,12.3,8.6,6,7,32,64.2,32.2,-,-,"2024-11-21 21:00",,0.9,6.5,9,0,121.493806,25.072611,67
冬山,宜蘭縣,31,,良好,0.8,0.19,40.3,34.4,7,3,3.5,3.9,0.4,0.2,228,"2024-11-21 21:00",,0.2,2.5,5,0,121.792928,24.632203,66
宜蘭,宜蘭縣,31,,良好,0.3,0.23,31.5,33.5,4,2,5.6,6.5,0.8,1.1,293,"2024-11-21 21:00",,0.2,2.2,6,0,121.746394,24.747917,65
陽明,臺北市,39,,良好,0.7,0.2,43.1,42.4,3,1,0.9,1.2,0.2,,,"2024-11-21 21:00",,0.1,1.1,2,0,121.529583,25.182722,64
花蓮,花蓮縣,36,,良好,2,0.25,39.4,39.2,,9,3.6,4,0.3,2.6,76,"2024-11-21 21:00",,0.2,6.6,,1,121.599769,23.971306,63
臺東,臺東縣,37,,良好,1.4,0.23,33.3,40.6,9,2,4.7,5.6,0.8,1.1,295,"2024-11-21 21:00",,0.1,3.8,20,1,121.15045,22.755358,62
恆春,屏東縣,41,,良好,1.2,0.12,44.1,44.8,11,4,1.4,1.8,0.3,12.8,31,"2024-11-21 21:00",,0.1,4.4,12,0,120.788928,21.958069,61
潮州,屏東縣,133,細懸浮微粒,對敏感族群不健康,1.3,0.47,43.5,80.0,79,48,6.3,7,0.7,0.8,16,"2024-11-21 21:00",,0.5,47.9,75,1,120.561175,22.523108,60
屏東,屏東縣,68,細懸浮微粒,普通,1.2,0.31,26.9,50.1,76,13,11.6,12.6,1,1.1,330,"2024-11-21 21:00",,0.3,22.6,58,0,120.488033,22.673081,59
小港,高雄市,78,懸浮微粒,普通,1.9,0.41,18.7,41.4,85,21,21.9,22.9,1,2.2,348,"2024-11-21 21:00",,0.4,25.8,78,2,120.337736,22.565833,58
前鎮,高雄市,93,懸浮微粒,普通,1.1,0.51,14.6,44.5,107,27,23.9,26.8,2.8,3.2,20,"2024-11-21 21:00",,0.4,29.7,93,1,120.30833356,22.6044507,57
前金,高雄市,101,懸浮微粒,對敏感族群不健康,2.3,0.36,17.3,,87,12,20.1,21,0.9,3.3,352,"2024-11-21 21:00",,0.3,24.7,101,1,120.28676111,22.63390278,56
左營,高雄市,95,懸浮微粒,普通,1.5,0.33,19.1,45.6,71,14,18.2,19,0.8,3.1,359,"2024-11-21 21:00",,0.3,23.8,95,1,120.292917,22.674861,54
楠梓,高雄市,74,懸浮微粒,普通,1.7,0.28,19.9,45.0,38,13,16.6,17.2,0.5,1.3,353,"2024-11-21 21:00",,0.3,21.2,74,1,120.328289,22.733667,53
林園,高雄市,103,細懸浮微粒,對敏感族群不健康,2.8,0.47,21.5,52.6,97,31,22.7,23,0.2,1.4,340,"2024-11-21 21:00",,0.4,36.2,80,3,120.41175,22.4795,52
大寮,高雄市,86,細懸浮微粒,普通,1.7,0.33,22.1,52.7,41,19,17.2,17.8,0.6,1.9,358,"2024-11-21 21:00",,0.3,29.8,44,2,120.425311,22.56413611,51
鳳山,高雄市,85,細懸浮微粒,普通,2.3,0.66,13.1,42.3,77,23,24.5,29,4.4,1.2,283,"2024-11-21 21:00",,0.6,29.2,79,2,120.357422,22.628126,50
仁武,高雄市,77,細懸浮微粒,普通,0.8,0.31,15.7,43.7,45,15,20.7,21.7,1,2.5,332,"2024-11-21 21:00",,0.3,25.9,67,1,120.332631,22.689056,49
橋頭,高雄市,85,懸浮微粒,普通,1.3,0.23,21.1,41.8,44,12,16.1,16.6,0.4,3.1,7,"2024-11-21 21:00",,0.2,23,85,1,120.305689,22.757506,48
美濃,高雄市,54,細懸浮微粒,普通,2.1,0.26,26.2,46.6,51,12,9.1,10,0.9,1,280,"2024-11-21 21:00",,0.2,16.7,47,1,120.530542,22.883583,47
臺南,臺南市,86,懸浮微粒,普通,1.8,0.32,17.6,38.8,26,11,16.8,18,1.1,3.1,14,"2024-11-21 21:00",,0.2,16.2,86,1,120.21947897,22.98928311,46
安南,臺南市,86,懸浮微粒,普通,1.8,0.32,18.5,38.0,37,12,14.6,14.9,0.3,2.7,326,"2024-11-21 21:00",,0.2,16.2,86,1,120.2175,23.048197,45
善化,臺南市,58,懸浮微粒,普通,1.3,0.27,21,37.4,36,8,11.8,12.7,0.9,3.6,5,"2024-11-21 21:00",,0.2,14.4,58,1,120.29740529,23.11337642,44
新營,臺南市,55,懸浮微粒,普通,1.5,0.25,21.3,29.5,32,8,11.5,13.5,2,2.6,21,"2024-11-21 21:00",,0.2,12.7,55,1,120.31725,23.305633,43
嘉義,嘉義市,43,,良好,4.2,0.3,16.8,31.8,1,11,15.1,16.5,1.3,2.6,6,"2024-11-21 21:00",,0.2,13.3,29,2,120.44125148,23.46477865,42
臺西,雲林縣,37,,良好,0.6,0.19,36,40.1,21,5,4.4,4.6,0.1,9.2,27,"2024-11-21 21:00",,0.1,5.6,25,0,120.19933333,23.702175,41
朴子,嘉義縣,55,懸浮微粒,普通,3.6,0.36,24.1,33.7,30,3,11.9,13,1.1,1.6,2,"2024-11-21 21:00",,0.2,6.8,55,2,120.2478,23.46538,40
新港,嘉義縣,56,懸浮微粒,普通,1.7,0.19,26.5,35.0,19,5,9.9,10.4,0.5,3.4,12,"2024-11-21 21:00",,0.2,9.8,56,1,120.345531,23.554839,39
崙背,雲林縣,102,懸浮微粒,對敏感族群不健康,0.9,0.24,27.1,31.4,87,7,8.4,9,0.5,2.3,19,"2024-11-21 21:00",,0.2,11.8,105,0,120.348742,23.757547,38
斗六,雲林縣,36,,良好,1.4,0.26,21,32.9,14,11,12,13,1,1.5,346,"2024-11-21 21:00",,0.2,11.2,23,1,120.544994,23.711853,37
南投,南投縣,24,,良好,1.9,0.26,22.9,26.9,9,7,11.9,12.5,0.5,1.6,343,"2024-11-21 21:00",,0.2,5.9,17,1,120.685306,23.913,36
二林,彰化縣,20,,良好,1.2,0.22,0,,11,6,8.1,8.8,0.6,6.2,32,"2024-11-21 21:00",,0.2,6.1,16,1,120.409653,23.925175,35
線西,彰化縣,31,,良好,1.1,0.21,30.6,33.7,10,0,10.9,11.5,0.6,8.5,34,"2024-11-21 21:00",,0.2,3.5,15,1,120.469061,24.131672,34
彰化,彰化縣,25,,良好,0.7,0.27,27,28.0,7,3,11,12.9,1.9,2.8,19,"2024-11-21 21:00",,0.2,4.4,10,0,120.541519,24.066,33
西屯,臺中市,28,,良好,1.3,0.22,30.6,30.6,3,4,7.5,8.1,0.6,3.7,8,"2024-11-21 21:00",,0.2,4.8,10,1,120.616917,24.162197,32
忠明,臺中市,24,,良好,1.5,0.27,27.2,26.4,4,4,9.3,10.9,1.6,2,6,"2024-11-21 21:00",,0.2,3.9,9,1,120.641092,24.151958,31
大里,臺中市,23,,良好,1,0.27,25.3,25.4,6,1,8.3,9.6,1.2,2.7,356,"2024-11-21 21:00",,0.2,4.8,10,1,120.67844444,24.09961111,30
沙鹿,臺中市,30,,良好,1.2,0.23,31.3,32.5,6,4,7.2,8,0.8,4.8,223,"2024-11-21 21:00",,0.2,4.4,10,1,120.568794,24.225628,29
豐原,臺中市,26,,良好,0.9,0.23,28.8,28.7,6,2,4.6,5.4,0.8,2.1,26,"2024-11-21 21:00",,0.2,1.9,6,0,120.74252414,24.25699731,28
三義,苗栗縣,29,,良好,0.8,0.19,33.8,31.0,2,3,4,4.7,0.6,6.9,14,"2024-11-21 21:00",,0.1,3.5,2,0,120.75956754,24.38248443,27
苗栗,苗栗縣,27,,良好,1.3,0.23,30.7,29.6,9,5,8.6,9.7,1.1,4,11,"2024-11-21 21:00",,0.2,5.3,5,1,120.82011468,24.56499183,26
頭份,苗栗縣,28,,良好,1.2,0.27,30.2,30.3,4,3,9.7,11,1.3,2.4,37,"2024-11-21 21:00",,0.2,5.8,7,1,120.89869286,24.69690679,25
新竹,新竹市,29,,良好,1,0.3,29,31.1,7,2,11.6,12.3,0.7,3.1,34,"2024-11-21 21:00",,0.2,2.6,6,1,120.97236752,24.8056356,24
竹東,新竹縣,34,,良好,0.6,0.18,38.1,37.9,0,0,3.7,4.2,0.4,5.6,37,"2024-11-21 21:00",,0.1,1.2,1,0,121.08895493,24.74091408,23
湖口,新竹縣,31,,良好,0.8,0.22,33.9,34.1,6,2,6.2,7.3,1,4.7,44,"2024-11-21 21:00",,0.1,3.1,5,1,121.03886894,24.90009696,22
龍潭,桃園市,29,,良好,0.9,0.22,34.5,32.0,7,2,6.9,8.2,1.3,5.7,48,"2024-11-21 21:00",,0.2,2.3,7,0,121.21645772,24.86400048,21
平鎮,桃園市,23,,良好,1.1,0.34,30.1,25.5,2,7,12.8,14.3,1.5,3.3,71,"2024-11-21 21:00",,0.3,6.3,5,0,121.203986,24.952786,20
觀音,桃園市,33,,良好,0.4,0.16,37.3,36.3,23,7,5.5,6,0.5,6.9,76,"2024-11-21 21:00",,0.1,4.8,14,0,121.08283092,25.03556747,19
大園,桃園市,30,,良好,1.5,0.21,34.4,32.7,12,7,10.4,11.1,0.7,4.8,57,"2024-11-21 21:00",,0.2,5.5,10,1,121.20251473,25.06100357,18
桃園,桃園市,24,,良好,1.6,0.35,29.3,26.4,5,5,12.5,13.7,1.2,2.4,55,"2024-11-21 21:00",,0.3,3.3,6,0,121.30500531,24.9947107,17
大同,臺北市,51,二氧化氮,普通,0.7,0.82,10.7,7.6,11,8,31.7,59.5,27.7,-,-,"2024-11-21 21:00",,1.1,8,10,0,121.51342074,25.06331455,16
松山,臺北市,25,,良好,1.3,0.27,25.4,21.2,7,2,15.7,18.4,2.6,0.7,23,"2024-11-21 21:00",,0.2,2.7,9,0,121.578611,25.05,15
古亭,臺北市,25,,良好,0.7,0.25,31.1,27.7,8,4,11.3,12.2,0.9,1.7,59,"2024-11-21 21:00",,0.2,3.2,7,,121.529556,25.020608,14
萬華,臺北市,30,,良好,1.3,0.31,24.5,21.3,8,2,18.4,20.3,1.9,2.4,87,"2024-11-21 21:00",,0.3,3.2,8,0,121.507972,25.046503,13
中山,臺北市,28,,良好,0.8,0.37,25.4,21.0,5,6,17.8,20.6,2.8,2.7,79,"2024-11-21 21:00",,0.4,4.2,5,0,121.526528,25.062361,12
士林,臺北市,29,,良好,0.3,0.22,37.9,31.0,7,2,6.7,7,0.3,1.4,153,"2024-11-21 21:00",,0.2,3,5,0,121.51666356,25.10334003,11
淡水,新北市,32,,良好,1.1,0.23,35.4,35.8,3,4,5.2,6,0.7,,,"2024-11-21 21:00",,0.2,2.5,4,0,121.449239,25.1645,10
林口,新北市,30,,良好,0.4,0.34,21.7,25.2,4,1,18,19.8,1.8,2,58,"2024-11-21 21:00",,0.2,2,3,0,121.36548982,25.07798949,9
菜寮,新北市,25,,良好,0.3,0.34,32,27.4,3,1,13.2,14.2,1,2.9,97,"2024-11-21 21:00",,0.3,3.1,4,0,121.481028,25.06895,8
新莊,新北市,24,,良好,0.9,0.31,29.6,26.3,9,9,13.6,13.6,0,3.8,98,"2024-11-21 21:00",,0.3,5.9,12,0,121.4325,25.037972,7
板橋,新北市,26,,良好,0.8,0.33,30.8,28.8,7,5,15.7,17.4,1.6,2.9,104,"2024-11-21 21:00",,0.3,3,4,0,121.458667,25.012972,6
土城,新北市,28,,良好,1,0.32,32.9,30.7,6,2,12.1,12.5,0.3,1.6,144,"2024-11-21 21:00",,0.3,1.1,9,1,121.451861,24.982528,5
新店,新北市,26,,良好,0.4,0.3,26.8,26.5,8,10,12.7,13.4,0.6,0.7,141,"2024-11-21 21:00",,0.3,7.9,6,0,121.537778,24.977222,4
萬里,新北市,42,,良好,0.6,0.19,45.9,45.2,28,7,2.7,3,0.3,6.1,39,"2024-11-21 21:00",,0.1,4,24,0,121.689881,25.179667,3
汐止,新北市,29,,良好,1.6,0.2,34.2,31.3,6,6,11,12.5,1.4,1.9,65,"2024-11-21 21:00",,0.2,6.4,5,0,121.64081,25.06624,2
基隆,基隆市,38,,良好,0.6,0.22,42,41.1,6,2,3.9,4.6,0.7,1.4,87,"2024-11-21 21:00",,0.2,2,7,0,121.760056,25.129167,1
屏東(枋山),屏東縣,71,臭氧八小時,普通,0.1,0.13,40.5,61.2,11,4,2.2,2.5,0.3,3.9,91,"2024-11-21 20:00",,0.2,18.7,39,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,34,,良好,0.1,0.15,37.5,37.6,8,3,5.5,5.6,0.1,0.1,64,"2024-11-21 20:00",,0.1,2.9,7,0,121.82463916,24.85366672,312
新北(樹林),新北市,38,,良好,0.3,0.46,19.3,20.8,9,2,23,31.4,8.4,0.1,177,"2024-11-21 20:00",,0.3,2.4,8,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,78,細懸浮微粒,普通,1,0.43,34,59.5,75,32,16.3,16.8,0.5,2.6,322,"2024-11-21 20:00",,0.3,26.6,70,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,85,懸浮微粒,普通,1,0.3,19.8,34.6,37,10,13.9,14.8,0.9,2.8,4,"2024-11-21 20:00",,0.2,14.2,85,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,81,懸浮微粒,普通,1.3,0.26,22.9,41.5,70,9,14,14.9,0.9,1.2,42,"2024-11-21 20:00",,0.2,15.8,81,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,26,,良好,1.5,0.27,24.7,28.5,12,6,11.5,12.6,1,1.6,346,"2024-11-21 20:00",,0.2,4,16,1,120.56373,23.96117,201
大城,彰化縣,40,,良好,1,0.16,38.1,43.2,11,8,3,5.4,2.3,9.4,46,"2024-11-21 20:00",,0.1,8.5,15,0,120.26964167,23.85493056,85
富貴角,新北市,42,,良好,0,0.16,45.2,45.6,25,6,2,1.9,0,9.2,50,"2024-11-21 20:00",,0.1,4.9,26,0,121.53656894,25.29681695,84
麥寮,雲林縣,37,,良好,1.2,0.19,35.9,39.9,32,8,5.8,6.7,0.9,7,3,"2024-11-21 20:00",,0.1,9.1,37,2,120.251825,23.753506,83
關山,臺東縣,35,,良好,1,0.16,38.2,38.8,12,4,2.9,3.5,0.6,3.9,30,"2024-11-21 20:00",,0.1,3.6,15,0,121.161933,23.045083,80
馬公,澎湖縣,37,,良好,1.9,0.18,42.6,40.6,14,4,2,2.9,0.8,8.3,35,"2024-11-21 20:00",,0.1,4.5,14,1,119.566158,23.569031,78
金門,金門縣,29,,良好,1.1,0.27,29.9,31.7,15,8,8.3,8.8,0.5,3.2,32,"2024-11-21 20:00",,0.2,7.7,12,1,118.312256,24.432133,77
馬祖,連江縣,46,,良好,0.9,0.23,37.3,35.2,15,15,4.3,4.7,0.4,2.6,335,"2024-11-21 20:00",,0.2,14.2,19,0,119.952724,26.153736,75
埔里,南投縣,50,,良好,1.3,0.35,25.3,34.8,25,12,10.4,11.2,0.8,1.2,318,"2024-11-21 20:00",,0.2,15.3,21,1,120.967903,23.968842,72
復興,高雄市,91,細懸浮微粒,普通,1.2,0.59,19.7,46.8,111,22,26.2,29.1,2.9,1.5,297,"2024-11-21 20:00",,0.5,31.8,79,1,120.312017,22.608711,71
永和,新北市,26,,良好,1,0.38,31.6,28.8,5,3,11,14.4,3.3,1.8,79,"2024-11-21 20:00",,0.3,3.6,7,0,121.516306,25.017,70
竹山,南投縣,39,,良好,1.1,0.25,18,33.6,17,7,14.6,15.1,0.4,1.9,34,"2024-11-21 20:00",,0.2,12,24,1,120.677306,23.756389,69
中壢,桃園市,37,,良好,1.1,0.61,18.6,15.1,9,10,22.5,36.5,14,0.9,337,"2024-11-21 20:00",,0.6,8,11,0,121.221667,24.953278,68
三重,新北市,52,二氧化氮,普通,0.6,0.91,9.8,8.1,9,6,32.4,68.7,36.3,-,-,"2024-11-21 20:00",,0.9,6.5,10,0,121.493806,25.072611,67
冬山,宜蘭縣,31,,良好,0.8,0.18,37.7,33.8,13,3,4.3,4.6,0.2,0.2,244,"2024-11-21 20:00",,0.1,2.5,5,0,121.792928,24.632203,66
宜蘭,宜蘭縣,31,,良好,0.4,0.26,30.3,34.1,6,3,7.8,8.8,1,1,296,"2024-11-21 20:00",,0.2,2.3,6,0,121.746394,24.747917,65
陽明,臺北市,39,,良好,0.7,0.19,43.1,42.4,0,2,1,1.5,0.4,1.4,160,"2024-11-21 20:00",,0.1,0.9,2,0,121.529583,25.182722,64
花蓮,花蓮縣,36,,良好,1.8,0.23,39.9,39.6,,7,3.5,3.9,0.4,2.5,77,"2024-11-21 20:00",,0.2,6.3,,1,121.599769,23.971306,63
臺東,臺東縣,38,,良好,1.4,0.2,36.9,41.8,18,4,3,3.7,0.7,1.1,302,"2024-11-21 20:00",,0.1,4.1,21,1,121.15045,22.755358,62
恆春,屏東縣,41,,良好,1.2,0.13,44.2,44.9,18,4,1.3,1.7,0.4,12.4,32,"2024-11-21 20:00",,0.1,4.5,12,0,120.788928,21.958069,61
潮州,屏東縣,154,臭氧八小時,對所有族群不健康,1.4,0.42,50.5,87.6,61,36,5.8,6.3,0.5,0.3,350,"2024-11-21 20:00",,0.5,46.5,71,1,120.561175,22.523108,60
屏東,屏東縣,73,細懸浮微粒,普通,1.1,0.39,32.1,54.4,68,19,12.4,13.3,0.8,1.5,306,"2024-11-21 20:00",,0.3,24.5,54,0,120.488033,22.673081,59
小港,高雄市,78,細懸浮微粒,普通,2.5,0.48,18.2,46.9,104,21,30.3,31.4,1,1.8,338,"2024-11-21 20:00",,0.4,26.3,74,2,120.337736,22.565833,58
前鎮,高雄市,90,懸浮微粒,普通,1.2,0.53,21.9,51.4,130,24,22,25.3,3.2,2.7,18,"2024-11-21 20:00",,0.4,30.1,90,1,120.30833356,22.6044507,57
前金,高雄市,99,懸浮微粒,普通,2.8,0.41,21.2,,145,24,20.2,21.2,0.9,4.2,351,"2024-11-21 20:00",,0.3,26.9,99,1,120.28676111,22.63390278,56
左營,高雄市,96,懸浮微粒,普通,1.8,0.41,22.4,50.9,139,20,19.8,20.7,0.9,3,2,"2024-11-21 20:00",,0.3,25.5,96,1,120.292917,22.674861,54
楠梓,高雄市,79,懸浮微粒,普通,2,0.33,24.1,50.0,76,16,18,18.5,0.5,1.6,27,"2024-11-21 20:00",,0.3,23,79,1,120.328289,22.733667,53
林園,高雄市,104,細懸浮微粒,對敏感族群不健康,2.6,0.49,27.7,58.0,78,32,23.4,23.8,0.4,2.8,308,"2024-11-21 20:00",,0.4,36.7,75,3,120.41175,22.4795,52
大寮,高雄市,93,細懸浮微粒,普通,1.8,0.36,24.8,58.7,53,24,20.1,20.7,0.6,2.1,341,"2024-11-21 20:00",,0.3,32.6,44,2,120.425311,22.56413611,51
鳳山,高雄市,88,細懸浮微粒,普通,2.4,0.71,18.1,48.8,120,28,25.3,29,3.7,0.9,273,"2024-11-21 20:00",,0.6,30.7,76,2,120.357422,22.628126,50
仁武,高雄市,81,細懸浮微粒,普通,1.1,0.34,22.7,49.7,78,21,19.7,20.5,0.8,2.8,338,"2024-11-21 20:00",,0.3,27.5,70,1,120.332631,22.689056,49
橋頭,高雄市,90,懸浮微粒,普通,1.7,0.31,21.1,46.1,95,18,20.7,21.4,0.6,3.3,19,"2024-11-21 20:00",,0.3,24.5,90,1,120.305689,22.757506,48
美濃,高雄市,57,細懸浮微粒,普通,1.9,0.26,34.1,49.0,61,13,8,8.8,0.8,0.9,257,"2024-11-21 20:00",,0.2,17.8,45,1,120.530542,22.883583,47
